1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
981,No,569,ALQ,162,240,Unf,1939.0,1768,Gd,7200,0,7,5,731,1937,1950,175000
1625,Gd,1573,Unf,0,538,Unf,2006.0,1625,Gd,4750,0,5,8,1573,2006,2007,235000
1444,Gd,697,Rec,747,389,Fin,1958.0,2144,Gd,159000,98,7,6,1444,1958,2006,277000
1521,No,0,Unf,1237,880,Unf,1988.0,2775,Gd,13500,502,9,10,1237,1893,2000,325000
1140,No,0,Unf,585,477,Fin,1984.0,1868,TA,12090,112,7,6,585,1984,2003,178000
1525,Av,1400,GLQ,125,541,RFn,2000.0,1525,Gd,9100,36,5,7,1525,2000,2000,235000
1571,Gd,0,Unf,1571,722,Fin,2007.0,1571,Gd,10991,36,5,8,1571,2007,2007,239000
796,No,0,Unf,796,0,None,1979.0,796,TA,8777,0,7,5,796,1910,1950,85000
1378,No,0,Unf,994,432,RFn,1985.0,2372,TA,6600,287,4,5,994,1892,1965,107500
802,No,0,Unf,384,402,RFn,1991.0,1472,Gd,10784,0,5,7,384,1991,1992,160000
960,Av,648,GLQ,0,364,Unf,1965.0,960,TA,10246,0,9,4,648,1965,2001,145000
734,Av,0,Unf,732,372,Fin,2005.0,1838,TA,21930,40,5,5,732,2005,2005,192140
1309,No,663,ALQ,0,484,RFn,1974.0,1309,Gd,10140,0,6,6,1040,1974,1999,181000
2069,Av,0,Unf,2153,694,Fin,2006.0,2643,Ex,13693,84,5,9,2153,2006,2006,380000
676,No,0,Unf,676,200,Unf,1941.0,1131,TA,5720,0,6,5,676,1941,1950,66500
960,No,0,Unf,960,400,Unf,1952.0,1960,TA,7596,0,5,5,960,1952,1952,124500
1144,No,25,BLQ,247,336,Unf,1962.0,1144,TA,9204,88,5,5,1144,1963,1963,124000
1056,No,1056,GLQ,0,576,Unf,1980.0,1056,TA,6979,56,5,6,1056,1980,1980,144000
693,No,0,Unf,693,0,None,1979.0,693,Fa,4118,20,4,4,693,1941,1950,52500
1494,Gd,1200,GLQ,279,576,RFn,1997.0,1494,Gd,9236,27,5,6,1479,1997,1997,217000
1646,Gd,1373,GLQ,221,482,Fin,2004.0,1646,Gd,3842,53,5,8,1594,2004,2005,275000
864,Av,390,ALQ,474,352,Unf,1989.0,864,TA,7180,0,7,5,864,1972,1972,127000
1566,Av,1078,GLQ,488,750,RFn,2008.0,1566,Gd,9000,168,5,8,1566,2008,2008,262500
735,No,593,BLQ,130,497,Unf,1972.0,1395,TA,12936,116,6,6,723,1972,1972,162000
848,No,152,BLQ,628,539,Unf,1962.0,1208,TA,6240,23,5,4,780,1925,1950,103000
939,Mn,0,Unf,939,180,Unf,1933.0,1513,TA,6120,0,8,5,939,1920,2004,137500
959,No,425,LwQ,459,560,Unf,1978.0,1367,TA,6240,0,6,6,884,1931,1950,127500
955,No,763,BLQ,192,386,Unf,1966.0,955,TA,7742,0,7,5,955,1966,1966,127000
1077,No,0,Unf,1007,210,Unf,1922.0,1077,TA,9786,100,4,3,1007,1922,1950,91000
1056,Mn,1056,Rec,0,572,Fin,1955.0,1056,TA,34650,0,5,5,1056,1955,1955,145000
756,No,0,Unf,756,615,RFn,2005.0,1553,Gd,8125,45,5,7,756,2005,2006,186500
1614,Av,20,GLQ,1594,865,RFn,2005.0,1614,Gd,11210,59,5,7,1614,2005,2006,221500
2042,No,0,Unf,2042,1390,RFn,2009.0,2042,Ex,12704,90,5,8,2042,2008,2009,253293
1073,No,0,Unf,1073,326,Unf,1968.0,1073,TA,5400,0,6,5,1073,1921,1968,108480
1072,No,336,BLQ,295,240,Unf,1948.0,1285,TA,8635,0,5,5,672,1948,2001,127000
2117,Mn,865,BLQ,340,550,Fin,1970.0,2117,TA,12925,42,7,6,1205,1970,1970,237500
605,Mn,348,Unf,180,0,Unf,1979.0,605,TA,9098,0,7,4,528,1920,2002,86000
1150,No,179,ALQ,465,300,RFn,1959.0,1150,TA,7945,0,6,5,1150,1959,1959,141000
728,No,0,Unf,728,400,Unf,2005.0,1456,Gd,8029,24,5,6,728,2005,2005,176000
999,Av,867,ALQ,77,588,RFn,1961.0,999,Ex,12122,76,9,7,944,1961,2007,178400
750,No,0,Unf,750,564,RFn,2005.0,1500,Gd,8846,35,5,6,750,2005,2006,173900
1336,Mn,841,BLQ,324,375,Unf,1953.0,1336,TA,15750,0,5,5,1165,1953,1953,157000
864,No,759,GLQ,80,398,Unf,2004.0,1593,TA,7415,75,5,6,839,2004,2004,193000
1130,Av,936,GLQ,168,836,Fin,2008.0,2184,Ex,11308,102,5,9,1104,2008,2008,335000
1560,No,0,Unf,1560,573,Fin,2003.0,1560,Gd,9196,150,5,7,1560,2003,2003,201000
888,No,386,LwQ,342,312,Unf,1942.0,1644,Gd,9480,0,7,5,728,1942,1995,146500
630,Av,515,GLQ,115,286,Unf,1970.0,630,Gd,1526,0,8,4,630,1970,2002,86000
1113,No,751,BLQ,392,504,RFn,1987.0,1113,TA,7917,30,7,6,1143,1976,1976,148000
1071,No,0,Unf,1063,947,RFn,2006.0,2172,Gd,14154,62,5,7,1063,2006,2006,280000
796,No,0,Unf,560,384,Unf,1950.0,1346,TA,11767,24,7,4,560,1910,2000,112000
1184,Av,64,GLQ,1120,550,Fin,2007.0,2610,Ex,9000,364,5,8,1184,2007,2007,303477
1026,No,0,Unf,1026,936,Fin,2005.0,1958,Gd,10625,210,5,7,1026,2005,2005,250000
1468,No,0,Unf,1468,898,Fin,2008.0,1468,Gd,9612,150,5,8,1468,2008,2009,244600
1302,None,0,None,0,539,Unf,1977.0,1734,Gd,10125,0,5,5,0,1977,1977,126000
768,No,352,BLQ,416,240,Unf,1946.0,1200,TA,11767,0,6,5,768,1946,1995,130500
1112,No,812,GLQ,280,438,Fin,2007.0,1550,Gd,8125,168,5,7,1092,2006,2007,241000
954,No,0,Unf,795,440,Unf,1997.0,2230,TA,6204,188,5,4,795,1912,1950,118500
1166,No,0,Unf,1064,240,Unf,1936.0,1639,TA,10480,0,5,6,1064,1936,1950,115000
864,No,521,BLQ,169,624,Unf,1964.0,864,TA,9100,0,5,5,864,1958,1958,129900
1621,Mn,213,ALQ,995,440,Unf,1984.0,1621,Gd,14145,45,7,7,1208,1984,1998,202500
483,No,162,ALQ,321,264,Unf,1972.0,987,Gd,1680,0,8,6,483,1972,2007,118000
1238,Gd,965,GLQ,245,628,RFn,1989.0,2519,Gd,26178,27,5,7,1210,1989,1990,335000
765,No,765,LwQ,0,440,Unf,1970.0,1365,TA,2368,36,6,5,765,1970,1970,125000
1149,Mn,0,Unf,1128,779,Unf,2002.0,2290,Gd,11250,0,5,8,1128,2002,2002,255900
1249,Av,0,Unf,1249,840,RFn,2006.0,2596,Gd,16259,154,5,9,1249,2006,2006,342643
907,No,288,Rec,619,352,Unf,1964.0,907,TA,8593,0,6,4,907,1957,1957,109008
855,No,566,ALQ,289,440,Unf,1976.0,1456,TA,2280,0,6,6,855,1976,1976,148500
1190,Av,803,ALQ,303,540,Unf,1962.0,1190,TA,7728,18,6,5,1106,1962,1962,132500
858,No,322,ALQ,536,684,Unf,1979.0,858,TA,7340,0,6,4,858,1971,1971,110000
2223,Gd,1880,ALQ,343,516,Fin,1973.0,2223,TA,13651,0,6,7,2223,1973,1973,244000
1005,No,0,Unf,1005,672,Unf,1977.0,1005,Fa,10434,0,5,4,1005,1955,1955,115000
1086,No,0,Unf,712,409,Fin,1994.0,1895,Gd,10832,46,5,7,712,1994,1996,194500
1040,No,906,Rec,134,384,Unf,1965.0,1040,TA,11200,0,5,5,1040,1965,1965,129500
1264,No,697,Rec,571,461,Unf,1960.0,1264,TA,9300,0,5,5,1268,1960,1960,167500
874,No,0,Unf,874,578,Fin,2007.0,1761,Gd,10207,105,6,7,874,2007,2007,227875
1034,Av,539,GLQ,473,888,Unf,1976.0,1034,TA,12328,0,5,6,1012,1976,1976,169900
1363,Gd,226,LwQ,96,439,Unf,1954.0,1363,TA,39104,0,7,7,1385,1954,2005,241500
1689,No,0,Unf,1436,480,Unf,1956.0,1689,TA,9855,0,5,6,1436,1956,1956,127500
2113,Gd,1696,GLQ,413,839,Fin,1995.0,2113,Gd,10437,46,6,8,2109,1995,1995,350000
1573,No,788,GLQ,785,544,RFn,2002.0,1573,Gd,9808,72,5,7,1573,2002,2002,227000
2364,Gd,2188,GLQ,142,820,Fin,2009.0,2364,Ex,12919,67,5,9,2330,2009,2010,611657
1057,No,739,GLQ,318,645,RFn,1998.0,2034,Gd,9375,36,5,7,1057,1997,1998,219500
1291,Mn,1003,GLQ,288,431,Unf,1996.0,1291,Gd,2887,0,5,6,1291,1996,1997,173000
858,Gd,696,BLQ,162,0,None,1979.0,858,TA,7207,0,7,5,858,1958,2008,116500
698,Mn,204,Rec,356,280,Unf,1939.0,1258,TA,9060,0,5,6,560,1939,1950,105000
438,No,290,Rec,0,246,Unf,1930.0,438,Fa,8400,0,5,2,290,1920,1950,60000
672,No,209,ALQ,463,440,Fin,1978.0,1400,TA,7844,0,7,6,672,1978,1978,149500
954,No,0,Unf,920,240,Unf,1938.0,954,Fa,6305,0,7,5,920,1938,1950,119750
1445,Gd,564,Unf,563,645,RFn,1964.0,1445,TA,12095,0,6,6,1127,1964,1964,158000
1072,Gd,459,Unf,88,525,Unf,2005.0,1072,TA,3675,28,5,6,547,2005,2005,148000
1664,None,0,None,0,0,None,1979.0,1664,TA,9825,0,5,5,0,1965,1965,100000
1445,No,0,Unf,844,441,Unf,1930.0,2134,Gd,11888,60,6,6,844,1916,1994,214500
1940,Mn,428,BLQ,537,380,Unf,1934.0,3194,TA,12168,0,6,8,965,1934,1998,359100
912,Av,0,Unf,912,0,None,1979.0,1824,TA,9400,0,5,6,912,1971,1971,139000
888,No,742,ALQ,130,422,Fin,1996.0,1756,TA,9303,122,5,6,872,1996,1997,204000
912,No,595,ALQ,317,576,Unf,1992.0,912,Gd,8872,240,8,5,912,1965,2008,147000
1509,Av,783,GLQ,678,600,RFn,1988.0,1509,Gd,10200,0,5,6,1461,1988,1989,175000
1160,No,264,BLQ,712,216,Unf,1925.0,1608,Gd,6171,16,6,6,976,1925,1990,137450
1316,No,28,GLQ,1288,397,Fin,2005.0,1316,Gd,10237,0,5,6,1316,2005,2006,169990
1015,No,489,Rec,279,450,Unf,1925.0,1015,TA,6120,0,7,5,768,1925,1950,88000
756,No,312,ALQ,444,240,Unf,1940.0,1134,TA,8160,0,6,5,756,1940,1950,126000
1636,No,63,GLQ,1560,865,RFn,2006.0,1636,Gd,13501,60,5,8,1623,2006,2006,255000
660,No,0,Unf,660,400,Fin,2003.0,1320,Gd,7750,48,5,7,660,2003,2003,162000
1160,Gd,249,LwQ,0,538,Fin,1967.0,2126,TA,28698,0,5,5,1013,1967,1967,185000
1128,Mn,776,ALQ,344,525,RFn,1963.0,1128,TA,8700,20,6,5,1120,1963,1963,155000
1306,Mn,860,BLQ,132,756,Unf,1968.0,1306,TA,8712,0,7,5,992,1957,2000,153000
798,No,0,Unf,546,0,None,1979.0,1344,TA,1533,0,6,4,546,1970,2008,97000
1576,No,0,Unf,718,704,Unf,1996.0,2554,TA,10800,48,8,7,718,1890,1998,159500
893,No,220,ALQ,625,576,Unf,1985.0,893,Gd,9600,0,7,5,845,1949,2003,135000
894,Mn,0,Unf,894,668,Fin,2007.0,1933,Gd,14598,18,5,6,894,2007,2007,214000
672,No,356,BLQ,316,264,Unf,1973.0,1218,TA,1890,28,5,6,672,1973,1973,113000
1161,No,0,Unf,808,534,RFn,1977.0,1969,TA,11952,0,6,7,808,1977,1977,190000
1220,No,1079,GLQ,141,556,RFn,1995.0,2090,Gd,10000,65,5,8,1220,1995,1996,240000
1484,Av,998,ALQ,486,487,Unf,1971.0,1484,TA,12243,0,6,5,1484,1971,1971,175000
1656,No,0,Unf,1656,506,Unf,1973.0,1656,TA,9246,211,5,5,1656,1973,1973,135000
818,No,468,Rec,350,210,Unf,1926.0,1224,TA,3950,0,8,6,818,1926,2004,115000
1022,No,695,GLQ,297,390,RFn,2000.0,2054,Gd,12224,48,5,6,992,2000,2000,244000
854,No,0,Unf,832,576,Unf,1991.0,854,TA,6120,112,8,7,832,1929,2001,132000
546,No,334,BLQ,212,286,RFn,1973.0,1092,TA,1974,96,5,4,546,1973,1973,83500
1268,Av,196,ALQ,1072,252,Unf,1978.0,1268,Gd,9286,0,7,5,1268,1977,1989,143500
827,Av,385,GLQ,70,550,RFn,1996.0,1661,Gd,10667,61,6,7,799,1996,1996,212000
1668,Av,370,BLQ,315,502,Fin,2003.0,1668,Gd,10635,262,5,8,1657,2003,2003,232000
1493,Gd,994,GLQ,484,508,Fin,1997.0,1493,Gd,13125,39,5,6,1478,1997,1998,208900
932,No,0,Unf,932,306,Unf,1950.0,932,Gd,8280,0,5,6,932,1950,1950,124000
1277,Gd,778,GLQ,499,526,Unf,1970.0,1277,TA,10628,0,5,7,1277,1970,1970,167000
1530,Av,1300,GLQ,230,630,Fin,2004.0,1530,Gd,14572,36,5,7,1530,2004,2004,259000
1344,No,457,ALQ,193,484,Unf,1970.0,1344,TA,9503,28,5,5,1024,1958,1983,144000
860,Av,672,ALQ,168,528,Unf,1996.0,860,TA,8740,0,6,5,840,1982,1982,137000
1314,No,904,GLQ,410,626,Unf,2008.0,1314,Gd,5001,62,5,7,1314,2007,2008,230000
1391,Mn,464,GLQ,927,868,RFn,2006.0,1962,Gd,8760,90,5,7,1391,2006,2006,239799
788,Av,724,GLQ,64,388,Fin,2004.0,1490,Gd,15384,75,5,7,788,2004,2005,184000
848,Av,662,GLQ,186,420,Unf,2004.0,848,Gd,4426,0,5,6,848,2004,2004,143000
672,No,0,Unf,672,240,Unf,1940.0,672,TA,10200,0,8,5,672,1940,1997,108000
1188,No,275,GLQ,877,252,RFn,1941.0,2340,Gd,9042,60,9,7,1152,1941,2006,266500
808,No,0,Unf,660,180,Unf,1916.0,1656,TA,10410,0,7,5,660,1916,1987,135000
725,No,626,ALQ,99,484,Fin,1972.0,1479,Gd,7472,32,9,7,725,1972,2004,184000
1226,No,0,Unf,1226,740,RFn,2009.0,1226,Gd,10402,36,5,7,1226,2009,2009,198900
976,Gd,568,LwQ,264,444,Fin,1966.0,2087,Gd,12205,168,8,6,832,1966,2007,187500
1158,No,941,ALQ,217,576,Unf,2006.0,1158,Gd,13072,50,5,6,1158,2004,2004,158000
1154,Mn,740,BLQ,184,480,RFn,1966.0,1154,TA,11000,58,6,5,1154,1966,1966,154000
880,Av,0,Unf,880,527,Fin,1998.0,1724,Gd,8924,155,5,7,880,1998,1999,188000
773,No,219,GLQ,554,431,Fin,1995.0,1658,TA,8000,84,5,6,773,1995,1996,188000
1126,None,0,None,0,520,Fin,2002.0,1126,Gd,8777,96,5,4,0,1949,2003,108000
872,No,0,Unf,816,300,Unf,1955.0,1393,TA,16466,0,7,5,816,1955,1955,135500
1968,Mn,192,Rec,536,1014,Unf,1982.0,3447,Gd,14100,12,9,8,728,1935,1997,381000
483,No,309,BLQ,174,264,Unf,1973.0,987,TA,1953,0,5,6,483,1973,1973,83000
808,No,351,ALQ,112,0,None,1979.0,1355,TA,10106,0,7,5,644,1940,1999,127500
2069,Gd,425,GLQ,160,505,RFn,1960.0,2069,Gd,27650,0,7,7,585,1960,2007,242000
757,No,549,ALQ,195,440,Unf,1999.0,1501,TA,2280,0,5,7,744,1999,1999,179400
1976,Gd,1350,Unf,626,908,RFn,2006.0,1976,Gd,14977,63,5,8,1976,2006,2007,440000
1563,No,33,GLQ,1530,758,RFn,2007.0,1563,Gd,10206,99,5,8,1563,2007,2007,245000
572,No,0,Unf,572,288,Unf,1982.0,1111,TA,5700,0,7,7,572,1926,1950,116900
851,No,0,Unf,776,270,RFn,1931.0,1502,TA,7200,0,6,7,776,1931,2000,149000
1733,None,0,None,0,452,Unf,1955.0,1733,TA,13680,0,5,3,0,1955,1955,139600
1848,No,1410,GLQ,438,706,Fin,2006.0,2728,Ex,20431,0,5,9,1848,2005,2006,437154
630,No,231,ALQ,399,264,Unf,1972.0,1302,TA,1680,0,7,5,630,1972,1972,119500
1332,Gd,1258,GLQ,74,586,Fin,1979.0,1524,Gd,23595,0,6,7,1332,1979,1979,260000
1120,None,0,None,0,680,Fin,1991.0,1588,TA,17120,59,4,4,0,1959,1959,134432
1125,No,0,Unf,1125,430,Unf,2007.0,1125,TA,8536,64,5,5,1125,2006,2007,155000
520,No,0,Unf,600,480,RFn,2005.0,1200,Gd,3180,166,5,7,600,2005,2005,151000
798,No,0,Unf,798,520,RFn,2004.0,1640,Gd,8366,45,5,6,798,2004,2004,173000
1223,No,1000,GLQ,223,525,RFn,1994.0,2127,Gd,10944,132,5,7,1223,1994,1994,271000
972,No,680,ALQ,292,240,Unf,1948.0,972,TA,8000,0,6,6,972,1948,2002,132000
1142,No,584,GLQ,544,466,RFn,1995.0,2020,Gd,9828,155,5,8,1128,1995,1995,239500
1144,Av,739,BLQ,405,596,Unf,1956.0,1144,TA,9571,0,6,5,1144,1956,1956,129000
1352,Av,300,BLQ,468,288,Unf,1958.0,1352,Gd,6930,0,4,5,1062,1958,1958,130000
926,No,234,LwQ,0,484,Unf,1974.0,1316,TA,5500,0,7,5,926,1929,2001,130000
1086,Av,956,GLQ,130,592,RFn,1998.0,1924,Gd,12011,75,5,8,1086,1998,1998,280000
1164,No,1040,ALQ,124,240,Unf,1950.0,1164,TA,10880,48,5,5,1164,1950,1950,125000
952,Mn,852,ALQ,100,840,Unf,1988.0,952,TA,7350,0,7,5,952,1951,1951,139000
938,No,259,LwQ,425,0,None,1979.0,2358,TA,5250,54,5,8,684,1872,1987,122000
1680,No,808,GLQ,72,540,Fin,1988.0,1680,Gd,21695,44,9,6,880,1988,2007,222000
1221,No,0,Unf,482,672,Unf,2003.0,1912,TA,10800,25,7,6,482,1905,2000,163000
1004,No,578,ALQ,426,480,Fin,1970.0,1004,TA,11241,0,7,6,1004,1970,1970,149000
774,No,384,ALQ,363,305,Unf,1946.0,1230,TA,4712,57,7,4,747,1946,1950,121600
1167,No,645,BLQ,270,495,Unf,1972.0,1167,TA,8731,0,5,5,915,1920,1950,144000
1301,Mn,405,LwQ,740,440,Unf,1965.0,1301,Fa,6911,0,5,5,1145,1924,1950,100000
1453,Gd,1082,GLQ,371,445,RFn,1986.0,1453,Gd,5271,80,5,7,1453,1986,1986,190000
1601,Av,1358,GLQ,223,670,RFn,2001.0,1601,Gd,11423,0,5,8,1581,2001,2002,272000
1588,Av,0,Unf,1588,825,Unf,2006.0,1588,Gd,10000,45,5,8,1588,2006,2006,227000
1095,Gd,513,ALQ,75,264,Unf,1958.0,1095,TA,10382,0,5,6,588,1958,1958,140000
1050,No,915,Rec,135,368,Unf,1961.0,1050,TA,10659,319,6,5,1050,1961,1961,136500
960,No,520,Rec,440,432,Fin,1965.0,960,TA,10921,0,5,4,960,1965,1965,94750
1002,Mn,0,Unf,810,280,Unf,1954.0,1456,TA,7585,0,3,5,810,1948,1950,91500
1489,No,0,Unf,1489,462,RFn,1968.0,1489,Gd,9156,0,7,6,1489,1968,1968,185750
1726,No,1126,Unf,600,786,Unf,2007.0,1726,Ex,9416,138,5,7,1726,2007,2007,311872
1362,No,0,Unf,1362,484,Unf,2003.0,2082,Gd,11426,238,5,7,1362,2003,2003,200000
1339,No,1053,ALQ,256,484,Fin,1990.0,1339,TA,8049,58,5,7,1309,1990,1990,180000
1310,Mn,781,GLQ,503,1069,Fin,1998.0,2450,Gd,16545,126,5,8,1284,1998,1998,340000
879,Av,0,Unf,879,660,Fin,2006.0,1863,Gd,14054,17,5,7,879,2006,2006,219210
768,Av,656,GLQ,112,396,Unf,1988.0,768,TA,8445,0,7,5,768,1972,2007,133000
334,None,0,None,0,0,None,1979.0,334,Fa,5000,0,3,1,0,1946,1950,39300
1136,No,892,Rec,244,384,Unf,1965.0,1136,TA,9200,0,6,6,1136,1965,1965,140000
1337,No,1201,GLQ,36,405,Fin,1998.0,1337,TA,4500,199,5,6,1237,1998,1998,153500
912,No,312,Rec,0,288,Unf,1964.0,912,TA,7800,0,5,5,912,1964,1964,115000
876,No,540,ALQ,324,264,RFn,1962.0,1812,TA,7590,168,5,5,864,1962,1962,169500
1052,No,378,Unf,342,240,Unf,1939.0,2192,Gd,8400,24,8,5,720,1939,1997,179500
658,No,0,Unf,658,0,None,1979.0,1184,TA,8410,151,3,5,658,1910,1996,81000
964,No,0,Unf,925,308,Unf,1960.0,1889,TA,10120,0,4,7,925,1910,1950,122000
1327,No,405,Rec,658,624,Unf,1974.0,1327,Gd,7388,0,6,5,1063,1959,2002,150750
